category_uid,category_name,category_description,category_parent_id
220-012403,"Radio Frequency","RF skin tightening services",220-012400
220-012404,"Digital Skin Analysis","Advanced skin scanning technology",220-012400
220-012405,"Smart Beauty Devices","High-tech beauty tool services",220-012400
220-012500,"Natural Beauty Services","Organic and natural beauty treatments",220-010000
220-012501,"Organic Facials","Natural facial treatments",220-012500
220-012502,"Herbal Treatments","Plant-based beauty services",220-012500
220-012503,"Natural Hair Care","Chemical-free hair treatments",220-012500
220-012504,"Holistic Beauty","Whole-body natural treatments",220-012500
220-012505,"Eco-Friendly Services","Environmentally conscious beauty care",220-012500
220-020000,"Health & Wellness","Medical and wellness services",NULL
220-020100,"Primary Care","General medical and preventive care services",220-020000
220-020101,"Family Medicine","Comprehensive family healthcare",220-020100
220-020102,"Internal Medicine","Adult primary care services",220-020100
220-020103,"Preventive Care","Disease prevention services",220-020100
220-020104,"Chronic Disease Management","Long-term condition care",220-020100
220-020105,"Health Assessments","Complete health evaluations",220-020100
220-020200,"Specialty Medicine","Specialized medical treatment services",220-020000
220-020201,"24-Hour Emergency","Round-the-clock urgent care",220-020200
220-020202,"Critical Care","Intensive medical services",220-020200
220-020203,"Trauma Care","Injury treatment services",220-020200
220-020204,"Emergency Surgery","Urgent surgical services",220-020200
220-020205,"Poison Treatment","Toxin exposure care",220-020200
220-020300,"Dental Services","Oral health and dental care",220-020000
220-020301,"General Dentistry","Basic dental care services",220-020300
220-020302,Orthodontics,"Teeth alignment treatments",220-020300
220-020303,Periodontics,"Gum disease treatment",220-020300
220-020304,"Cosmetic Dentistry","Dental aesthetic services",220-020300
220-020305,"Pediatric Dentistry","Children's dental care",220-020300
220-020400,"Counseling Services","Mental health counseling and therapy",220-020000
220-020401,"Individual Therapy","One-on-one counseling services",220-020400
220-020402,"Couples Counseling","Relationship therapy services",220-020400
220-020403,"Family Therapy","Family counseling services",220-020400
220-020404,"Group Therapy","Group counseling sessions",220-020400
220-020405,"Grief Counseling","Bereavement support services",220-020400
220-020500,"Psychiatric Services","Professional psychiatric care",220-020000
220-020501,"Mood Disorder Treatment","Depression and bipolar disorder care",220-020500
220-020502,"Anxiety Management","Anxiety disorder specialized care",220-020500
220-020503,"Psychotic Disorder Care","Schizophrenia and related treatment",220-020500
220-020504,"Medication Management","Psychiatric medication oversight",220-020500
220-020505,"Crisis Intervention","Emergency psychiatric services",220-020500
220-020600,"Psychology Services","Psychological assessment and treatment",220-020000
220-020601,"Behavioral Analysis","Psychological behavior assessment",220-020600
220-020602,"Cognitive Testing","Mental function evaluation",220-020600
220-020603,"Personality Assessment","Character trait analysis",220-020600
220-020604,"Educational Psychology","Learning capability assessment",220-020600
220-020605,"Developmental Assessment","Growth and development evaluation",220-020600
220-020700,Acupuncture,"Traditional Chinese medicine and acupuncture",220-020000
220-020701,"Pain Management","Acupuncture for chronic pain",220-020700
220-020702,"Stress Relief","Anxiety reduction treatment",220-020700
220-020703,"Fertility Support","Reproductive health acupuncture",220-020700
220-020704,"Digestive Health","Gastrointestinal treatment",220-020700
220-020705,"Sports Recovery","Athletic performance support",220-020700
220-020800,"Chiropractic Care","Spinal and musculoskeletal treatment",220-020000
220-020801,"Spinal Adjustment","Vertebral alignment treatment",220-020800
220-020802,"Joint Therapy","Joint mobility treatment",220-020800
220-020803,"Posture Correction","Structural alignment services",220-020800
220-020804,"Prenatal Chiropractic","Pregnancy-safe adjustments",220-020800
220-020805,"Pediatric Chiropractic","Child-specific treatment",220-020800
220-020900,Homeopathy,"Alternative medical treatments",220-020000
220-020901,"Constitutional Treatment","Whole-body homeopathic care",220-020900
220-020902,"Acute Care","Short-term condition treatment",220-020900
220-020903,"Chronic Disease Management","Long-term condition care",220-020900
220-020904,"Preventive Treatment","Disease prevention therapy",220-020900
220-020905,"Pediatric Homeopathy","Child-focused natural treatment",220-020900
220-021000,"Rehabilitation Services","Physical rehabilitation and therapy",220-020000
220-021001,"Orthopedic Therapy","Musculoskeletal rehabilitation",220-021000
220-021002,"Post-Surgery Rehab","Post-operative recovery care",220-021000
220-021003,"Sports Rehabilitation","Athletic injury recovery",220-021000
220-021004,"Pain Management","Chronic pain therapy",220-021000
220-021005,"Neurological Therapy","Neurological rehabilitation",220-021000
220-021100,"Sports Medicine","Athletic injury treatment and prevention",220-020000
220-021101,"Performance Analysis","Athletic capability assessment",220-021100
220-021102,"Injury Prevention","Athletic preventive care",220-021100
220-021103,"Concussion Management","Head injury specialized care",220-021100
220-021104,"Sport-Specific Training","Specialized athletic programs",220-021100
220-021105,"Competition Preparation","Pre-event medical support",220-021100
220-021200,"Occupational Therapy","Functional ability improvement services",220-020000
220-021201,"Workplace Assessment","Job environment evaluation",220-021200
220-021202,"Adaptive Equipment","Assistive device training",220-021200
220-021203,"Hand Therapy","Upper extremity rehabilitation",220-021200
220-021204,"Cognitive Rehabilitation","Mental function recovery",220-021200
220-021205,"Life Skills Training","Daily activities adaptation",220-021200
220-021300,"Nutrition Services","Dietary and nutritional guidance",220-020000
220-021301,"Diet Planning","Customized meal planning",220-021300
220-021302,"Nutritional Counseling","Dietary guidance services",220-021300
220-021303,"Sports Nutrition","Athletic nutrition planning",220-021300
220-021304,"Medical Nutrition","Clinical nutrition therapy",220-021300
220-021305,"Pediatric Nutrition","Children's nutrition services",220-021300
220-021400,"Weight Management","Weight loss and maintenance programs",220-020000
220-021401,"Medical Weight Loss","Physician-supervised programs",220-021400
220-021402,"Metabolic Testing","Metabolism assessment services",220-021400
220-021403,"Body Composition","Body structure analysis",220-021400
220-021404,"Behavioral Coaching","Habit modification support",220-021400
220-021405,"Long-term Maintenance","Sustained weight management",220-021400
220-021500,"Fitness Centers","Exercise and physical fitness facilities",220-020000
220-021501,"Equipment Training","Fitness machine instruction",220-021500
220-021502,"Fitness Assessment","Physical condition evaluation",220-021500
220-021503,"Circuit Programs","Structured exercise routines",220-021500
220-021504,"Senior Fitness","Age-appropriate exercise",220-021500
220-021505,"Youth Fitness","Teen exercise programs",220-021500
220-021600,"Women's Health","Female-specific health services",220-020000
220-021601,Obstetrics,"Pregnancy and childbirth care",220-021600
220-021602,Gynecology,"Female reproductive health",220-021600
220-021603,"Breast Health","Breast care and screening",220-021600
220-021604,"Fertility Services","Reproductive assistance",220-021600
220-021605,"Menopause Care","Menopausal health services",220-021600
220-021700,"Men's Health","Male-specific health services",220-020000
220-021701,"Prostate Health","Prostate screening and care",220-021700
220-021702,"Testosterone Management","Hormone balance services",220-021700
220-021703,"Male Fertility","Reproductive health services",220-021700
220-021704,"Cardiovascular Health","Heart health for men",220-021700
220-021705,"Male Mental Health","Men-specific counseling",220-021700
220-021800,"Pediatric Care","Children's health services",220-020000
220-021801,"Growth Monitoring","Child development tracking",220-021800
220-021802,"Behavioral Health","Child behavior assessment",220-021800
220-021803,"Immunization Services","Childhood vaccination programs",220-021800
220-021804,"Nutrition Counseling","Child dietary guidance",220-021800
220-021805,"School Health","Academic health support",220-021800
220-021900,"Health Screening","Preventive health screening services",220-020000
220-021901,"Cancer Screening","Cancer detection services",220-021900
220-021902,"Cardiovascular Screening","Heart health assessment",220-021900
220-021903,"Diabetes Screening","Diabetes risk assessment",220-021900
220-021904,"Bone Density Testing","Osteoporosis screening",220-021900
220-021905,"Vision Screening","Eye health assessment",220-021900
220-022000,"Immunization Services","Vaccination and immunization centers",220-020000
220-022001,"Adult Vaccinations","Standard adult immunization services",220-022000
220-022002,"Travel Vaccines","International travel immunizations",220-022000
220-022003,"Seasonal Vaccines","Periodic vaccination services",220-022000
220-022004,"Emergency Vaccination","Rapid response immunization",220-022000
220-022005,"Specialized Vaccines","Specific condition immunization",220-022000
220-022100,"Wellness Check-ups","Regular health maintenance services",220-020000
220-022101,"Biometric Screening","Body measurement analysis",220-022100
220-022102,"Lifestyle Assessment","Daily habit evaluation",220-022100
220-022103,"Preventive Screening","Early detection testing",220-022100
220-022104,"Health Risk Analysis","Future health risk assessment",220-022100
220-022105,"Wellness Planning","Personalized health strategy",220-022100
220-022200,"Medical Equipment","Health equipment and supplies",220-020000
220-022201,"Mobility Aids","Movement assistance devices",220-022200
220-022202,"Respiratory Equipment","Breathing support devices",220-022200
220-022203,"Monitoring Devices","Health tracking equipment",220-022200
220-022204,"Recovery Equipment","Rehabilitation devices",220-022200
220-022205,"Sleep Apnea Devices","Sleep disorder equipment",220-022200
220-022300,"Home Health Care","In-home medical services",220-020000
220-022301,"Skilled Nursing","Professional nursing care",220-022300
220-022302,"Physical Therapy","In-home rehabilitation",220-022300
220-022303,"Personal Care","Daily living assistance",220-022300
220-022304,"Medication Management","Medicine administration services",220-022300
220-022305,"Palliative Care","End-of-life care services",220-022300
220-022400,Telemedicine,"Remote healthcare services",220-020000
220-022401,"Virtual Consultations","Online medical consultations",220-022400
220-022402,"Remote Monitoring","Distance health monitoring",220-022400
220-022403,Teletherapy,"Online counseling services",220-022400
220-022404,"Digital Prescriptions","Electronic prescription services",220-022400
220-022405,"Virtual Follow-ups","Remote follow-up care",220-022400
220-022500,"Emergency Care","Urgent medical care services",220-020000
220-022501,"Trauma Response","Immediate injury care",220-022500
220-022502,"Cardiac Emergency","Heart crisis intervention",220-022500
220-022503,"Stroke Care","Acute stroke treatment",220-022500
220-022504,"Emergency Surgery","Urgent surgical services",220-022500
220-022505,"Stabilization Care","Critical condition management",220-022500
220-030000,"Home Services","Residential maintenance and improvement",NULL
220-030100,"House Cleaning","General residential cleaning services",220-030000
220-030101,"Regular Cleaning","Routine house cleaning services",220-030100
220-030102,"Move-in/Move-out Cleaning","Property transition cleaning",220-030100
220-030103,"Green Cleaning","Eco-friendly cleaning services",220-030100
220-030104,"Post-Construction Cleaning","After-building cleanup services",220-030100
220-030105,"Window Cleaning","Window and glass cleaning",220-030100
220-030200,"Deep Cleaning","Intensive cleaning services",220-030000
220-030201,"Steam Cleaning","Deep steam sanitization service",220-030200
220-030202,"Carpet Extraction","Deep carpet cleaning treatment",220-030200
220-030203,"Air Duct Sanitization","Ventilation system deep clean",220-030200
220-030204,"Surface Disinfection","Thorough surface sterilization",220-030200
220-030205,"Restoration Cleaning","Deep restoration services",220-030200
220-030300,"Specialized Cleaning","Specific area cleaning services",220-030000
220-030301,"Biohazard Cleanup","Hazardous material cleaning",220-030300
220-030302,"Crime Scene Cleanup","Forensic cleaning services",220-030300
220-030303,"Hoarding Cleanup","Extensive cleanup services",220-030300
220-030304,"Industrial Cleaning","Heavy-duty cleaning service",220-030300
220-030305,"Historical Cleaning","Heritage site preservation",220-030300
220-030400,"General Maintenance","Basic home maintenance services",220-030000
220-030401,"Preventive Maintenance","Regular upkeep services",220-030400
220-030402,"Safety Inspections","Home safety evaluations",220-030400
220-030403,"Seasonal Maintenance","Weather preparation service",220-030400
220-030404,"Property Monitoring","Regular home monitoring",220-030400
220-030405,"Equipment Servicing","Appliance maintenance care",220-030400
220-030500,"Handyman Services","Various repair and fix-it services",220-030000
220-030501,"Furniture Assembly","Furniture building services",220-030500
220-030502,"Door Repair","Door maintenance and fixing",220-030500
220-030503,"Drywall Repair","Wall repair services",220-030500
220-030504,"Cabinet Repair","Cabinet fixing and maintenance",220-030500
220-030505,"Floor Repair","Flooring maintenance services",220-030500
220-030600,"Emergency Repairs","Urgent repair services",220-030000
220-030601,"Water Damage Response","Urgent water damage repair",220-030600
220-030602,"Storm Damage Repair","Weather damage restoration",220-030600
220-030603,"Emergency Boarding","Urgent security coverage",220-030600
220-030604,"Structural Support","Emergency building support",220-030600
220-030605,"Power Restoration","Emergency electrical repair",220-030600
220-030700,"Lawn Care","Lawn maintenance and landscaping",220-030000
220-030701,"Lawn Mowing","Regular grass cutting services",220-030700
220-030702,Fertilization,"Lawn nutrition services",220-030700
220-030703,"Weed Control","Weed removal and prevention",220-030700
220-030704,"Lawn Aeration","Soil aeration services",220-030700
220-030705,"Irrigation Services","Watering system maintenance",220-030700
220-030800,"Garden Services","Garden maintenance and design",220-030000
220-030801,"Landscape Design","Garden planning services",220-030800
220-030802,"Plant Installation","Vegetation planting service",220-030800
220-030803,"Soil Management","Ground quality maintenance",220-030800
220-030804,"Garden Structures","Decorative feature building",220-030800
220-030805,"Water Features","Garden fountain installation",220-030800
220-030900,"Exterior Maintenance","Outside home maintenance",220-030000
220-030901,"Siding Maintenance","Exterior wall care service",220-030900
220-030902,"Gutter Upkeep","Drainage system maintenance",220-030900
220-030903,"Deck Preservation","Outdoor deck maintenance",220-030900
220-030904,"Driveway Care","Driveway surface maintenance",220-030900
220-030905,"Fence Maintenance","Boundary structure upkeep",220-030900
220-031000,"HVAC Services","Heating and cooling system services",220-030000
220-031001,"AC Maintenance","Air conditioner servicing",220-031000
220-031002,"Heating Repair","Heater maintenance services",220-031002
220-031003,"Duct Cleaning","Ventilation system cleaning",220-031000
220-031004,"System Installation","New HVAC system setup",220-031000
220-031005,"Emergency HVAC Service","Urgent heating/cooling repair",220-031000
220-031100,"Plumbing Services","Water and pipe system services",220-030000
220-031101,"Pipe Maintenance","Water line service repair",220-031100
220-031102,"Fixture Installation","Plumbing fixture setup",220-031100
220-031103,"Drain Cleaning","Drainage system service",220-031100
220-031104,"Leak Detection","Water leak identification",220-031100
220-031105,"Sewer Service","Main line maintenance",220-031100
220-031200,"Air Quality Services","Indoor air quality maintenance",220-030000
220-031201,"Air Testing","Indoor air quality analysis",220-031200
220-031202,"Mold Remediation","Mold removal services",220-031200
220-031203,"Allergen Control","Allergy reduction service",220-031200
220-031204,"Ventilation Service","Air flow optimization",220-031200
220-031205,"Humidity Control","Moisture level management",220-031200
220-031300,"Electrical Services","Electrical system maintenance",220-030000
220-031301,"Circuit Installation","New wiring setup service",220-031300
220-031302,"Panel Upgrades","Electrical panel modernization",220-031300
220-031303,"Safety Inspection","Electrical system checking",220-031300
220-031304,"Generator Service","Backup power maintenance",220-031300
220-031305,"Surge Protection","Power surge prevention",220-031300
220-031400,"Lighting Installation","Light fixture services",220-030000
220-031401,"Interior Lighting","Indoor light installation",220-031400
220-031402,"Landscape Lighting","Outdoor lighting design",220-031400
220-031403,"Security Lighting","Safety light installation",220-031400
220-031404,"Smart Lighting","Automated light systems",220-031400
220-031405,"LED Conversion","Energy-efficient upgrading",220-031400
220-031500,"Smart Home Services","Home automation services",220-030000
220-031501,"Device Integration","Smart system connectivity",220-031500
220-031502,"Security Automation","Automated security setup",220-031500
220-031503,"Climate Control","Smart temperature systems",220-031500
220-031504,"Entertainment Setup","Smart media configuration",220-031500
220-031505,"Voice Control","Voice command installation",220-031500
220-031600,"Home Renovation","House remodeling services",220-030000
220-031601,"Kitchen Remodeling","Kitchen renovation services",220-031600
220-031602,"Bathroom Remodeling","Bathroom renovation work",220-031600
220-031603,"Basement Finishing","Basement completion services",220-031600
220-031604,"Room Additions","Home expansion services",220-031600
220-031605,"Garage Conversion","Garage remodeling services",220-031600
220-031700,"Construction Services","Building and construction work",220-030000
220-031701,"Foundation Work","Structural base construction",220-031700
220-031702,"Frame Building","Structural frame assembly",220-031700
220-031703,"Custom Additions","Home extension construction",220-031700
220-031704,"Site Preparation","Construction area setup",220-031700
220-031705,"Permit Management","Building approval services",220-031700
220-031800,"Interior Finishing","Indoor finishing services",220-030000
220-031801,"Wall Texturing","Surface finish application",220-031800
220-031802,"Trim Installation","Decorative border fitting",220-031800
220-031803,"Custom Molding","Architectural detail work",220-031800
220-031804,"Cabinet Refinishing","Cabinet surface renewal",220-031800
220-031805,"Floor Finishing","Floor surface completion",220-031800
220-031900,"Home Security","Security system services",220-030000
220-031901,"Security System Installation","Security setup services",220-031900
220-031902,"Camera Installation","Surveillance system setup",220-031900
220-031903,"Lock Installation","Door security services",220-031900
220-031904,"Monitoring Services","Security monitoring setup",220-031900
220-031905,"Access Control Systems","Entry control installation",220-031900
220-032000,"Fire Safety","Fire prevention and protection",220-030000
220-032001,"Alarm Systems","Fire detection installation",220-032000
220-032002,"Sprinkler Service","Fire suppression maintenance",220-032000
220-032003,"Safety Assessment","Fire risk evaluation",220-032000
220-032004,"Equipment Testing","Fire safety gear checking",220-032000
220-032005,"Emergency Planning","Fire evacuation strategy",220-032000
220-032100,"Pest Control","Pest elimination services",220-030000
220-032101,"Insect Control","Bug infestation treatment",220-032100
220-032102,"Rodent Management","Rodent removal service",220-032100
220-032103,"Wildlife Removal","Animal extraction service",220-032100
220-032104,"Prevention Treatment","Pest barrier installation",220-032100
220-032105,"Termite Control","Wood pest elimination",220-032100
220-032200,"Window Services","Window maintenance and installation",220-030000
220-032201,"Glass Replacement","Window pane installation",220-032200
220-032202,"Frame Repair","Window frame restoration",220-032200
220-032203,"Seal Maintenance","Weather seal service",220-032200
220-032204,"Screen Installation","Window screen fitting",220-032200
220-032205,"Treatment Installation","Window coating service",220-032200
220-032300,"Roofing Services","Roof repair and maintenance",220-030000
220-032301,"Roof Repair","Roof fixing services",220-032300
220-032302,"Roof Replacement","Complete roof renewal",220-032300
220-032303,"Gutter Services","Gutter maintenance work",220-032300
220-032304,"Leak Detection","Roof leak finding services",220-032300
220-032305,"Preventive Maintenance","Roof maintenance services",220-032300
220-032400,"Storage Solutions","Home storage and organization",220-030000
220-032401,"Closet Organization","Closet arrangement services",220-032400
220-032402,"Garage Storage","Garage organization systems",220-032400
220-032403,"Basement Storage","Basement organization setup",220-032400
220-032404,"Custom Shelving","Custom storage installation",220-032400
220-032405,"Attic Storage","Attic organization services",220-032400
220-032500,"Home Inspection","Property inspection services",220-030000
220-032501,"Pre-Purchase Inspection","Buying inspection services",220-032500
220-032502,"Seller Inspection","Pre-listing inspection services",220-032500
220-032503,"New Construction Inspection","New build inspection",220-032500
220-032504,"Warranty Inspection","Home warranty inspection",220-032500
220-032505,"Maintenance Inspection","Regular home inspection",220-032500
220-040000,"Professional Services","Business and professional assistance",NULL
220-040100,"Business Consulting","Strategic business advisory services",220-040000
220-040101,"Strategy Consulting","Business strategy development",220-040100
220-040102,"Operations Consulting","Operational efficiency services",220-040100
220-040103,"Small Business Consulting","Small business advisory services",220-040100
220-040104,"Startup Consulting","New business guidance",220-040100
220-040105,"Process Improvement","Business process optimization",220-040100
220-040200,"Marketing Services","Marketing and promotion services",220-040000
220-040201,"Digital Marketing","Online marketing services",220-040200
220-040202,"Social Media Marketing","Social platform marketing",220-040200
220-040203,"Content Marketing","Content strategy and creation",220-040200
220-040204,"SEO Services","Search engine optimization",220-040200
220-040205,"Email Marketing","Email campaign management",220-040200
220-040300,"Accounting Services","Financial accounting and bookkeeping",220-040000
220-040301,Bookkeeping,"Daily transaction recording",220-040300
220-040302,"Financial Reporting","Business report preparation",220-040300
220-040303,"Payroll Management","Employee payment processing",220-040300
220-040304,"Audit Support","Internal audit assistance",220-040300
220-040305,"Cost Accounting","Expense tracking services",220-040300
220-040400,"Financial Planning","Personal and business financial planning",220-040000
220-040401,"Retirement Planning","Retirement strategy services",220-040400
220-040402,"Investment Planning","Investment strategy development",220-040400
220-040403,"Estate Planning","Asset distribution planning",220-040400
220-040404,"Insurance Planning","Insurance strategy services",220-040400
220-040405,"College Planning","Education funding strategy",220-040400
220-040500,"Tax Services","Tax preparation and consulting",220-040000
